Zone;Élément;Produit;Année;Unité;Valeur
Bosnie-Herzégovine;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;8
Bosnie-Herzégovine;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;55
Bosnie-Herzégovine;Traitement;Viande de Volailles;2017;Milliers de tonnes;0
Bosnie-Herzégovine;Résidus;Viande de Volailles;2017;Milliers de tonnes;-1
Bosnie-Herzégovine;Nourriture;Viande de Volailles;2017;Milliers de tonnes;56
Bosnie-Herzégovine;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;16.7
Bosnie-Herzégovine;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;56
Bosnie-Herzégovine;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;5.66
Bosnie-Herzégovine;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;3.51
Botswana;Production;Viande de Volailles;2017;Milliers de tonnes;5
Botswana;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;3
Botswana;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;0
Botswana;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
Botswana;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;7
Botswana;Alimentation pour touristes;Viande de Volailles;2017;Milliers de tonnes;0
Botswana;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Botswana;Nourriture;Viande de Volailles;2017;Milliers de tonnes;7
Botswana;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;3.39
Botswana;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;12
Botswana;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;1.19
Botswana;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;0.71
